tokens,act_ind,act_inds,obj_inds,state_with_label
"['MAKE', 'breakfast', 'the', 'night', 'before', 'with', 'a', 'hash', 'brown', 'casserole']",0,[0],"[[1], []]","[[-0.33252001  0.073082    0.34678    ... -0.01583354  0.
   1.        ]
 [-0.81866002  0.11267    -0.018692   ...  0.43542841  1.
   2.        ]
 [-0.038194   -0.24487001  0.72812003 ...  0.43112433  2.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Make', 'breakfast', 'the', 'night', 'before', 'with', 'a', 'hash', 'brown', 'casserole', 'Start', 'by', 'mixing', 'together', 'your', 'cream', 'of', 'mushroom', 'condensed', 'soup', 'sour', 'cream', 'salt', 'pepper', 'onion', 'and', 'cheese', 'in', 'a', 'large', 'bowl']",12,[12],"[[15, 19, 21, 22, 23, 24, 26], []]","[[-0.33252001  0.073082    0.34678    ...  0.02052858 12.
   1.        ]
 [-0.81866002  0.11267    -0.018692   ...  0.47627941 11.
   1.        ]
 [-0.038194   -0.24487001  0.72812003 ...  0.50795966 10.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Start', 'by', 'mixing', 'together', 'your', 'cream', 'of', 'mushroom', 'condensed', 'soup', 'sour', 'cream', 'salt', 'pepper', 'onion', 'and', 'cheese', 'in', 'a', 'large', 'bowl', 'After', 'these', 'are', 'well', 'combined', 'add', 'in', 'the', 'hash', 'browns', 'and', 'mix', 'gently']",25,"[25, 26, 32]","[[5, 9, 11, 12, 13, 14, 16], []]","[[ 2.33360007e-01  1.60420001e-01  5.07140011e-02 ... -1.01279818e-01
   2.50000000e+01  1.00000000e+00]
 [-2.08749995e-01 -1.17399998e-01  2.64780015e-01 ... -5.31113669e-02
   2.40000000e+01  1.00000000e+00]
 [-3.47020000e-01  4.46200013e-01  1.44330002e-02 ...  2.12213829e-01
   2.30000000e+01  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
"['Start', 'by', 'mixing', 'together', 'your', 'cream', 'of', 'mushroom', 'condensed', 'soup', 'sour', 'cream', 'salt', 'pepper', 'onion', 'and', 'cheese', 'in', 'a', 'large', 'bowl', 'After', 'these', 'are', 'well', 'combined', 'add', 'in', 'the', 'hash', 'browns', 'and', 'mix', 'gently']",26,"[25, 26, 32]","[[30], []]","[[ 2.33360007e-01  1.60420001e-01  5.07140011e-02 ... -1.01279818e-01
   2.60000000e+01  1.00000000e+00]
 [-2.08749995e-01 -1.17399998e-01  2.64780015e-01 ... -5.31113669e-02
   2.50000000e+01  1.00000000e+00]
 [-3.47020000e-01  4.46200013e-01  1.44330002e-02 ...  2.12213829e-01
   2.40000000e+01  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
"['Start', 'by', 'mixing', 'together', 'your', 'cream', 'of', 'mushroom', 'condensed', 'soup', 'sour', 'cream', 'salt', 'pepper', 'onion', 'and', 'cheese', 'in', 'a', 'large', 'bowl', 'After', 'these', 'are', 'well', 'combined', 'add', 'in', 'the', 'hash', 'browns', 'and', 'mix', 'gently']",32,"[25, 26, 32]","[[5, 9, 11, 12, 13, 14, 16, 30], []]","[[ 2.33360007e-01  1.60420001e-01  5.07140011e-02 ... -1.01279818e-01
   3.20000000e+01  1.00000000e+00]
 [-2.08749995e-01 -1.17399998e-01  2.64780015e-01 ... -5.31113669e-02
   3.10000000e+01  1.00000000e+00]
 [-3.47020000e-01  4.46200013e-01  1.44330002e-02 ...  2.12213829e-01
   3.00000000e+01  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
"['After', 'these', 'are', 'well', 'combined', 'add', 'in', 'the', 'hash', 'browns', 'and', 'mix', 'gently', 'Spray', 'your', 'slow', 'cooker', 'with', 'some', 'non-stick', 'cooking', 'spray', 'or', 'coat', 'with', 'butter']",13,"[13, 23]","[[16], []]","[[ 0.37711    -0.34470999  0.13405    ... -0.05406335 13.
   1.        ]
 [-0.60456997  0.50749999 -0.18923    ...  0.159052   12.
   1.        ]
 [-0.51533002  0.83186001  0.22457001 ... -0.02450722 11.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['After', 'these', 'are', 'well', 'combined', 'add', 'in', 'the', 'hash', 'browns', 'and', 'mix', 'gently', 'Spray', 'your', 'slow', 'cooker', 'with', 'some', 'non-stick', 'cooking', 'spray', 'or', 'coat', 'with', 'butter']",23,"[13, 23]","[[25], []]","[[ 0.37711    -0.34470999  0.13405    ... -0.05406335 23.
   1.        ]
 [-0.60456997  0.50749999 -0.18923    ...  0.159052   22.
   1.        ]
 [-0.51533002  0.83186001  0.22457001 ... -0.02450722 21.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['This', 'will', 'prevent', 'sticking', 'so', 'you', ""don't"", 'have', 'a', 'huge', 'mess', 'to', 'clean', 'up', 'Pour', 'the', 'hash', 'brown', 'mixture', 'into', 'your', 'slow', 'cooker', 'and', 'put', 'the', 'cover', 'on']",14,"[14, 24]","[[18], []]","[[-0.57058001  0.44183001  0.70102    ...  0.02500021 14.
   1.        ]
 [-0.26703     0.44911     0.55478001 ... -0.04892258 13.
   1.        ]
 [-0.14657    -0.53794003 -0.36901999 ...  0.06446675 12.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['This', 'will', 'prevent', 'sticking', 'so', 'you', ""don't"", 'have', 'a', 'huge', 'mess', 'to', 'clean', 'up', 'Pour', 'the', 'hash', 'brown', 'mixture', 'into', 'your', 'slow', 'cooker', 'and', 'put', 'the', 'cover', 'on']",24,"[14, 24]","[[26], []]","[[-0.57058001  0.44183001  0.70102    ...  0.02500021 24.
   1.        ]
 [-0.26703     0.44911     0.55478001 ... -0.04892258 23.
   1.        ]
 [-0.14657    -0.53794003 -0.36901999 ...  0.06446675 22.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Pour', 'the', 'hash', 'brown', 'mixture', 'into', 'your', 'slow', 'cooker', 'and', 'put', 'the', 'cover', 'on', 'Turn', 'the', 'slow', 'cooker', 'on', 'high', 'and', 'leave', 'for', '1', 'to', '1.5', 'hours']",14,"[14, 21]","[[17], []]","[[-8.14840019e-01  5.42959988e-01 -8.99839997e-01 ...  1.78970024e-01
   1.40000000e+01  1.00000000e+00]
 [-3.81940007e-02 -2.44870007e-01  7.28120029e-01 ...  3.00383270e-01
   1.30000000e+01  1.00000000e+00]
 [-8.82520020e-01 -1.24179997e-01 -5.09150028e-01 ... -3.86781688e-03
   1.20000000e+01  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
