tokens,act_ind,act_inds,obj_inds,state_with_label
"['MAKE', 'breakfast', 'the', 'night', 'before', 'with', 'a', 'hash', 'brown', 'casserole']",0,[0],"[[1], []]","[[-0.1717  0.14    0.0623 ...  0.006   0.      1.    ]
 [-0.0152 -0.0166  0.0032 ...  0.0255  1.      2.    ]
 [ 0.0897  0.016  -0.0571 ... -0.0259  2.      1.    ]
 ...
 [ 0.      0.      0.     ...  0.      0.      1.    ]
 [ 0.      0.      0.     ...  0.      0.      1.    ]
 [ 0.      0.      0.     ...  0.      0.      1.    ]]"
"['Make', 'breakfast', 'the', 'night', 'before', 'with', 'a', 'hash', 'brown', 'casserole', 'Start', 'by', 'mixing', 'together', 'your', 'cream', 'of', 'mushroom', 'condensed', 'soup', 'sour', 'cream', 'salt', 'pepper', 'onion', 'and', 'cheese', 'in', 'a', 'large', 'bowl']",12,[12],"[[15, 19, 21, 22, 23, 24, 26], []]","[[-1.12199999e-01  8.47999975e-02  1.61300004e-01 ...  1.30000003e-02
   1.20000000e+01  1.00000000e+00]
 [-1.52000003e-02 -1.65999997e-02  3.19999992e-03 ...  2.54999995e-02
   1.10000000e+01  1.00000000e+00]
 [ 8.96999985e-02  1.60000008e-02 -5.71000017e-02 ... -2.59000007e-02
   1.00000000e+01  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
"['Start', 'by', 'mixing', 'together', 'your', 'cream', 'of', 'mushroom', 'condensed', 'soup', 'sour', 'cream', 'salt', 'pepper', 'onion', 'and', 'cheese', 'in', 'a', 'large', 'bowl', 'After', 'these', 'are', 'well', 'combined', 'add', 'in', 'the', 'hash', 'browns', 'and', 'mix', 'gently']",25,"[25, 26, 32]","[[5, 9, 11, 12, 13, 14, 16], []]","[[-3.46799999e-01  3.02000009e-02  2.06599995e-01 ...  1.35000004e-02
   2.50000000e+01  1.00000000e+00]
 [ 2.41999999e-02 -2.64999997e-02  8.21999982e-02 ...  3.15000005e-02
   2.40000000e+01  1.00000000e+00]
 [ 4.25999984e-02  7.46999979e-02  6.61000013e-02 ...  1.60000008e-02
   2.30000000e+01  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
"['Start', 'by', 'mixing', 'together', 'your', 'cream', 'of', 'mushroom', 'condensed', 'soup', 'sour', 'cream', 'salt', 'pepper', 'onion', 'and', 'cheese', 'in', 'a', 'large', 'bowl', 'After', 'these', 'are', 'well', 'combined', 'add', 'in', 'the', 'hash', 'browns', 'and', 'mix', 'gently']",26,"[25, 26, 32]","[[30], []]","[[-3.46799999e-01  3.02000009e-02  2.06599995e-01 ...  1.35000004e-02
   2.60000000e+01  1.00000000e+00]
 [ 2.41999999e-02 -2.64999997e-02  8.21999982e-02 ...  3.15000005e-02
   2.50000000e+01  1.00000000e+00]
 [ 4.25999984e-02  7.46999979e-02  6.61000013e-02 ...  1.60000008e-02
   2.40000000e+01  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
"['Start', 'by', 'mixing', 'together', 'your', 'cream', 'of', 'mushroom', 'condensed', 'soup', 'sour', 'cream', 'salt', 'pepper', 'onion', 'and', 'cheese', 'in', 'a', 'large', 'bowl', 'After', 'these', 'are', 'well', 'combined', 'add', 'in', 'the', 'hash', 'browns', 'and', 'mix', 'gently']",32,"[25, 26, 32]","[[5, 9, 11, 12, 13, 14, 16, 30], []]","[[-3.46799999e-01  3.02000009e-02  2.06599995e-01 ...  1.35000004e-02
   3.20000000e+01  1.00000000e+00]
 [ 2.41999999e-02 -2.64999997e-02  8.21999982e-02 ...  3.15000005e-02
   3.10000000e+01  1.00000000e+00]
 [ 4.25999984e-02  7.46999979e-02  6.61000013e-02 ...  1.60000008e-02
   3.00000000e+01  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
"['After', 'these', 'are', 'well', 'combined', 'add', 'in', 'the', 'hash', 'browns', 'and', 'mix', 'gently', 'Spray', 'your', 'slow', 'cooker', 'with', 'some', 'non-stick', 'cooking', 'spray', 'or', 'coat', 'with', 'butter']",13,"[13, 23]","[[16], []]","[[ 3.00999992e-02  3.99999991e-02  1.89600006e-01 ...  4.32999991e-02
   1.30000000e+01  1.00000000e+00]
 [-3.75999995e-02 -7.32000023e-02 -1.20099999e-01 ...  4.54999991e-02
   1.20000000e+01  1.00000000e+00]
 [-7.00000022e-03  2.28000004e-02 -1.49900004e-01 ...  1.94000006e-02
   1.10000000e+01  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
"['After', 'these', 'are', 'well', 'combined', 'add', 'in', 'the', 'hash', 'browns', 'and', 'mix', 'gently', 'Spray', 'your', 'slow', 'cooker', 'with', 'some', 'non-stick', 'cooking', 'spray', 'or', 'coat', 'with', 'butter']",23,"[13, 23]","[[25], []]","[[ 3.00999992e-02  3.99999991e-02  1.89600006e-01 ...  4.32999991e-02
   2.30000000e+01  1.00000000e+00]
 [-3.75999995e-02 -7.32000023e-02 -1.20099999e-01 ...  4.54999991e-02
   2.20000000e+01  1.00000000e+00]
 [-7.00000022e-03  2.28000004e-02 -1.49900004e-01 ...  1.94000006e-02
   2.10000000e+01  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
"['This', 'will', 'prevent', 'sticking', 'so', 'you', ""don't"", 'have', 'a', 'huge', 'mess', 'to', 'clean', 'up', 'Pour', 'the', 'hash', 'brown', 'mixture', 'into', 'your', 'slow', 'cooker', 'and', 'put', 'the', 'cover', 'on']",14,"[14, 24]","[[18], []]","[[ 1.31699994e-01 -2.63999999e-02  8.22999999e-02 ...  3.97000015e-02
   1.40000000e+01  1.00000000e+00]
 [-3.68000008e-02  2.30999999e-02 -1.27100006e-01 ... -5.73999994e-02
   1.30000000e+01  1.00000000e+00]
 [-1.12199999e-01 -4.21999991e-02  4.39999998e-03 ... -5.29999984e-03
   1.20000000e+01  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
"['This', 'will', 'prevent', 'sticking', 'so', 'you', ""don't"", 'have', 'a', 'huge', 'mess', 'to', 'clean', 'up', 'Pour', 'the', 'hash', 'brown', 'mixture', 'into', 'your', 'slow', 'cooker', 'and', 'put', 'the', 'cover', 'on']",24,"[14, 24]","[[26], []]","[[ 1.31699994e-01 -2.63999999e-02  8.22999999e-02 ...  3.97000015e-02
   2.40000000e+01  1.00000000e+00]
 [-3.68000008e-02  2.30999999e-02 -1.27100006e-01 ... -5.73999994e-02
   2.30000000e+01  1.00000000e+00]
 [-1.12199999e-01 -4.21999991e-02  4.39999998e-03 ... -5.29999984e-03
   2.20000000e+01  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
"['Pour', 'the', 'hash', 'brown', 'mixture', 'into', 'your', 'slow', 'cooker', 'and', 'put', 'the', 'cover', 'on', 'Turn', 'the', 'slow', 'cooker', 'on', 'high', 'and', 'leave', 'for', '1', 'to', '1.5', 'hours']",14,"[14, 21]","[[17], []]","[[-9.88999978e-02  1.60699993e-01  2.28799999e-01 ... -6.71999976e-02
   1.40000000e+01  1.00000000e+00]
 [ 8.96999985e-02  1.60000008e-02 -5.71000017e-02 ... -2.59000007e-02
   1.30000000e+01  1.00000000e+00]
 [ 5.86999990e-02 -1.35299996e-01  8.47999975e-02 ... -5.70000010e-03
   1.20000000e+01  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
