tokens,act_ind,act_inds,obj_inds,state_with_label
"['MAKE', 'breakfast', 'the', 'night', 'before', 'with', 'a', 'hash', 'brown', 'casserole']",0,[0],"[[1], []]","[[-0.33252001  0.073082    0.34678    ... -0.12562627  0.
   1.        ]
 [-0.81866002  0.11267    -0.018692   ... -0.59259892  1.
   2.        ]
 [-0.038194   -0.24487001  0.72812003 ... -1.1626389   2.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Make', 'breakfast', 'the', 'night', 'before', 'with', 'a', 'hash', 'brown', 'casserole', 'Start', 'by', 'mixing', 'together', 'your', 'cream', 'of', 'mushroom', 'condensed', 'soup', 'sour', 'cream', 'salt', 'pepper', 'onion', 'and', 'cheese', 'in', 'a', 'large', 'bowl']",12,[12],"[[15, 19, 21, 22, 23, 24, 26], []]","[[-0.33252001  0.073082    0.34678    ...  0.19997032 12.
   1.        ]
 [-0.81866002  0.11267    -0.018692   ... -0.45383108 11.
   1.        ]
 [-0.038194   -0.24487001  0.72812003 ... -0.65160185 10.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Start', 'by', 'mixing', 'together', 'your', 'cream', 'of', 'mushroom', 'condensed', 'soup', 'sour', 'cream', 'salt', 'pepper', 'onion', 'and', 'cheese', 'in', 'a', 'large', 'bowl', 'After', 'these', 'are', 'well', 'combined', 'add', 'in', 'the', 'hash', 'browns', 'and', 'mix', 'gently']",25,"[25, 26, 32]","[[5, 9, 11, 12, 13, 14, 16], []]","[[ 2.33360007e-01  1.60420001e-01  5.07140011e-02 ... -4.93468672e-01
   2.50000000e+01  1.00000000e+00]
 [-2.08749995e-01 -1.17399998e-01  2.64780015e-01 ...  6.26504421e-01
   2.40000000e+01  1.00000000e+00]
 [-3.47020000e-01  4.46200013e-01  1.44330002e-02 ... -1.39091268e-01
   2.30000000e+01  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
"['Start', 'by', 'mixing', 'together', 'your', 'cream', 'of', 'mushroom', 'condensed', 'soup', 'sour', 'cream', 'salt', 'pepper', 'onion', 'and', 'cheese', 'in', 'a', 'large', 'bowl', 'After', 'these', 'are', 'well', 'combined', 'add', 'in', 'the', 'hash', 'browns', 'and', 'mix', 'gently']",26,"[25, 26, 32]","[[30], []]","[[ 2.33360007e-01  1.60420001e-01  5.07140011e-02 ... -4.93468672e-01
   2.60000000e+01  1.00000000e+00]
 [-2.08749995e-01 -1.17399998e-01  2.64780015e-01 ...  6.26504421e-01
   2.50000000e+01  1.00000000e+00]
 [-3.47020000e-01  4.46200013e-01  1.44330002e-02 ... -1.39091268e-01
   2.40000000e+01  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
"['Start', 'by', 'mixing', 'together', 'your', 'cream', 'of', 'mushroom', 'condensed', 'soup', 'sour', 'cream', 'salt', 'pepper', 'onion', 'and', 'cheese', 'in', 'a', 'large', 'bowl', 'After', 'these', 'are', 'well', 'combined', 'add', 'in', 'the', 'hash', 'browns', 'and', 'mix', 'gently']",32,"[25, 26, 32]","[[5, 9, 11, 12, 13, 14, 16, 30], []]","[[ 2.33360007e-01  1.60420001e-01  5.07140011e-02 ... -4.93468672e-01
   3.20000000e+01  1.00000000e+00]
 [-2.08749995e-01 -1.17399998e-01  2.64780015e-01 ...  6.26504421e-01
   3.10000000e+01  1.00000000e+00]
 [-3.47020000e-01  4.46200013e-01  1.44330002e-02 ... -1.39091268e-01
   3.00000000e+01  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
"['After', 'these', 'are', 'well', 'combined', 'add', 'in', 'the', 'hash', 'browns', 'and', 'mix', 'gently', 'Spray', 'your', 'slow', 'cooker', 'with', 'some', 'non-stick', 'cooking', 'spray', 'or', 'coat', 'with', 'butter']",13,"[13, 23]","[[16], []]","[[ 0.37711    -0.34470999  0.13405    ... -0.15028262 13.
   1.        ]
 [-0.60456997  0.50749999 -0.18923    ... -0.34632763 12.
   1.        ]
 [-0.51533002  0.83186001  0.22457001 ...  0.23073478 11.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['After', 'these', 'are', 'well', 'combined', 'add', 'in', 'the', 'hash', 'browns', 'and', 'mix', 'gently', 'Spray', 'your', 'slow', 'cooker', 'with', 'some', 'non-stick', 'cooking', 'spray', 'or', 'coat', 'with', 'butter']",23,"[13, 23]","[[25], []]","[[ 0.37711    -0.34470999  0.13405    ... -0.15028262 23.
   1.        ]
 [-0.60456997  0.50749999 -0.18923    ... -0.34632763 22.
   1.        ]
 [-0.51533002  0.83186001  0.22457001 ...  0.23073478 21.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['This', 'will', 'prevent', 'sticking', 'so', 'you', ""don't"", 'have', 'a', 'huge', 'mess', 'to', 'clean', 'up', 'Pour', 'the', 'hash', 'brown', 'mixture', 'into', 'your', 'slow', 'cooker', 'and', 'put', 'the', 'cover', 'on']",14,"[14, 24]","[[18], []]","[[-0.57058001  0.44183001  0.70102    ...  0.41783798 14.
   1.        ]
 [-0.26703     0.44911     0.55478001 ...  0.39738068 13.
   1.        ]
 [-0.14657    -0.53794003 -0.36901999 ...  0.27281213 12.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['This', 'will', 'prevent', 'sticking', 'so', 'you', ""don't"", 'have', 'a', 'huge', 'mess', 'to', 'clean', 'up', 'Pour', 'the', 'hash', 'brown', 'mixture', 'into', 'your', 'slow', 'cooker', 'and', 'put', 'the', 'cover', 'on']",24,"[14, 24]","[[26], []]","[[-0.57058001  0.44183001  0.70102    ...  0.41783798 24.
   1.        ]
 [-0.26703     0.44911     0.55478001 ...  0.39738068 23.
   1.        ]
 [-0.14657    -0.53794003 -0.36901999 ...  0.27281213 22.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Pour', 'the', 'hash', 'brown', 'mixture', 'into', 'your', 'slow', 'cooker', 'and', 'put', 'the', 'cover', 'on', 'Turn', 'the', 'slow', 'cooker', 'on', 'high', 'and', 'leave', 'for', '1', 'to', '1.5', 'hours']",14,"[14, 21]","[[17], []]","[[-0.81484002  0.54295999 -0.89984    ...  0.1517303  14.
   1.        ]
 [-0.038194   -0.24487001  0.72812003 ... -0.54253566 13.
   1.        ]
 [-0.88252002 -0.12418    -0.50915003 ... -0.32661006 12.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
