tokens,act_ind,act_inds,obj_inds,state_with_label
"['Throw', 'away', 'or', 'recycle', 'alkaline', 'batteries']",0,"[0, 3]","[[4, 5], []]","[[ 0.28714001  0.18645     0.11928    ... -0.85990942  0.
   1.        ]
 [-0.10379    -0.014792    0.59933001 ... -0.01721525  1.
   1.        ]
 [ 0.31039     0.64859003  0.28481001 ...  0.36086273  2.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Throw', 'away', 'or', 'recycle', 'alkaline', 'batteries']",3,"[0, 3]","[[4, 5], []]","[[ 0.28714001  0.18645     0.11928    ... -0.85990942  3.
   1.        ]
 [-0.10379    -0.014792    0.59933001 ... -0.01721525  2.
   1.        ]
 [ 0.31039     0.64859003  0.28481001 ...  0.36086273  1.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Most', 'alkaline', 'batteries', 'manufactured', 'since', '1996', 'are', 'made', 'of', 'relatively', 'non-hazardous', 'materials', 'and', 'can', 'be', 'tossed', 'directly', 'into', 'the', 'trash', 'However', 'some', 'states', 'or', 'municipalities', 'still', 'require', 'that', 'alkaline', 'batteries', 'be', 'treated', 'as', 'hazardous', 'waste']",31,[31],"[[28, 29], []]","[[-0.56127     0.66595     0.33998001 ...  0.03352557 31.
   1.        ]
 [-1.546       0.13877     0.95950001 ... -0.18074939 30.
   1.        ]
 [-1.46539998  0.049887    0.46934    ...  0.95897329 29.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['However', 'some', 'states', 'or', 'municipalities', 'still', 'require', 'that', 'alkaline', 'batteries', 'be', 'treated', 'as', 'hazardous', 'waste', 'In', 'these', 'cases', 'the', 'batteries', 'must', 'be', 'recycled', 'or', 'dropped', 'off', 'at', 'a', 'designated', 'facility']",22,"[22, 24]","[[19], []]","[[-0.23056    -0.093112    0.20096999 ... -0.21752656 22.
   1.        ]
 [-0.14452     0.56023002  0.2054     ...  0.46215034 21.
   1.        ]
 [ 0.13815001  0.45166001  0.93857998 ... -0.11722834 20.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['However', 'some', 'states', 'or', 'municipalities', 'still', 'require', 'that', 'alkaline', 'batteries', 'be', 'treated', 'as', 'hazardous', 'waste', 'In', 'these', 'cases', 'the', 'batteries', 'must', 'be', 'recycled', 'or', 'dropped', 'off', 'at', 'a', 'designated', 'facility']",24,"[22, 24]","[[19], []]","[[-0.23056    -0.093112    0.20096999 ... -0.21752656 24.
   1.        ]
 [-0.14452     0.56023002  0.2054     ...  0.46215034 23.
   1.        ]
 [ 0.13815001  0.45166001  0.93857998 ... -0.11722834 22.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['In', 'these', 'cases', 'the', 'batteries', 'must', 'be', 'recycled', 'or', 'dropped', 'off', 'at', 'a', 'designated', 'facility', 'You', 'may', 'be', 'able', 'to', 'drop', 'off', 'alkaline', 'batteries', 'for', 'recycling', 'at', 'a', 'local', 'electronics', 'retailer', 'recycling', 'center', 'or', 'community', 'center']",20,[20],"[[22, 23], []]","[[ 0.085703   -0.22201     0.16569    ... -0.29954466 20.
   1.        ]
 [-0.60456997  0.50749999 -0.18923    ... -0.08962759 19.
   1.        ]
 [ 0.35707     0.45236999 -0.029493   ... -0.82023782 18.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['You', 'may', 'be', 'able', 'to', 'drop', 'off', 'alkaline', 'batteries', 'for', 'recycling', 'at', 'a', 'local', 'electronics', 'retailer', 'recycling', 'center', 'or', 'community', 'center', 'Check', 'the', 'Earth911', 'website', 'for', 'drop-off', 'locations', 'in', 'your', 'area']",21,[21],"[[23, 24], []]","[[-4.98860002e-01  7.66020000e-01  8.97509992e-01 ... -5.67925811e-01
   2.10000000e+01  1.00000000e+00]
 [ 8.25280026e-02 -7.52900019e-02  1.46960001e-02 ...  1.51440620e-01
   2.00000000e+01  1.00000000e+00]
 [-4.69529986e-01  3.84319991e-01  5.48330009e-01 ... -2.08135515e-01
   1.90000000e+01  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
"['Check', 'the', 'Earth911', 'website', 'for', 'drop-off', 'locations', 'in', 'your', 'area', 'Dispose', 'of', 'car', 'batteries', 'at', 'an', 'auto', 'parts', 'retailer', 'or', 'hazardous', 'waste', 'collection', 'site']",10,[10],"[[12, 13], []]","[[-0.27314001 -0.17828     0.26394001 ... -0.50011736 10.
   1.        ]
 [-0.038194   -0.24487001  0.72812003 ...  0.25480619  9.
   1.        ]
 [ 0.          0.          0.         ...  0.30611795  8.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Many', 'retailers', 'like', 'Home', 'Depot', 'or', 'Auto', 'Zone', 'will', 'accept', 'dead', 'or', 'used', 'car', 'batteries', 'You', 'can', 'also', 'drop', 'them', 'off', 'at', 'recycling', 'or', 'waste', 'disposal', 'facilities', 'that', 'specialize', 'in', 'hazardous', 'materials']",18,[18],"[[13, 14], []]","[[-0.32914001  0.82887    -0.14182    ...  0.0671663  18.
   1.        ]
 [ 0.39905    -0.051744   -0.57878    ... -0.71819448 17.
   1.        ]
 [-0.2687      0.81708002  0.69896001 ... -0.1224681  16.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['You', 'can', 'also', 'drop', 'them', 'off', 'at', 'recycling', 'or', 'waste', 'disposal', 'facilities', 'that', 'specialize', 'in', 'hazardous', 'materials', 'Take', 'rechargeable', 'batteries', 'to', 'a', 'recycling', 'facility']",17,[17],"[[18, 19], []]","[[-0.49886     0.76602     0.89750999 ... -0.49055213 17.
   1.        ]
 [-0.71766001  0.80870998  0.31867999 ...  0.18731347 16.
   1.        ]
 [-0.33818999  0.064568   -0.032558   ... -0.3557032  15.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
