tokens,act_ind,act_inds,obj_inds,state_with_label
"['Throw', 'away', 'or', 'recycle', 'alkaline', 'batteries']",0,"[0, 3]","[[4, 5], []]","[[-0.16419999 -0.0146      0.0896     ...  0.0729      0.
   1.        ]
 [ 0.14650001 -0.0769     -0.0546     ... -0.0729      1.
   1.        ]
 [ 0.027       0.0152      0.0437     ...  0.0181      2.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Throw', 'away', 'or', 'recycle', 'alkaline', 'batteries']",3,"[0, 3]","[[4, 5], []]","[[-0.16419999 -0.0146      0.0896     ...  0.0729      3.
   1.        ]
 [ 0.14650001 -0.0769     -0.0546     ... -0.0729      2.
   1.        ]
 [ 0.027       0.0152      0.0437     ...  0.0181      1.
   1.        ]
 ...
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]
 [ 0.          0.          0.         ...  0.          0.
   1.        ]]"
"['Most', 'alkaline', 'batteries', 'manufactured', 'since', '1996', 'are', 'made', 'of', 'relatively', 'non-hazardous', 'materials', 'and', 'can', 'be', 'tossed', 'directly', 'into', 'the', 'trash', 'However', 'some', 'states', 'or', 'municipalities', 'still', 'require', 'that', 'alkaline', 'batteries', 'be', 'treated', 'as', 'hazardous', 'waste']",31,[31],"[[28, 29], []]","[[ 1.67999994e-02  1.38999997e-02  8.03999975e-02 ...  3.57999988e-02
   3.10000000e+01  1.00000000e+00]
 [-8.21999982e-02 -2.74500012e-01  2.08000001e-02 ... -2.30999999e-02
   3.00000000e+01  1.00000000e+00]
 [-6.99999975e-04  1.95000004e-02 -1.27499998e-01 ... -1.86999999e-02
   2.90000000e+01  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
"['However', 'some', 'states', 'or', 'municipalities', 'still', 'require', 'that', 'alkaline', 'batteries', 'be', 'treated', 'as', 'hazardous', 'waste', 'In', 'these', 'cases', 'the', 'batteries', 'must', 'be', 'recycled', 'or', 'dropped', 'off', 'at', 'a', 'designated', 'facility']",22,"[22, 24]","[[19], []]","[[ 1.69400007e-01 -4.47999984e-02  1.29000004e-02 ... -6.28999993e-02
   2.20000000e+01  1.00000000e+00]
 [-5.77999987e-02 -2.25000009e-02 -3.15999985e-02 ... -7.38999993e-02
   2.10000000e+01  1.00000000e+00]
 [ 6.15999997e-02 -1.74000002e-02  6.75000027e-02 ...  2.74999999e-02
   2.00000000e+01  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
"['However', 'some', 'states', 'or', 'municipalities', 'still', 'require', 'that', 'alkaline', 'batteries', 'be', 'treated', 'as', 'hazardous', 'waste', 'In', 'these', 'cases', 'the', 'batteries', 'must', 'be', 'recycled', 'or', 'dropped', 'off', 'at', 'a', 'designated', 'facility']",24,"[22, 24]","[[19], []]","[[ 1.69400007e-01 -4.47999984e-02  1.29000004e-02 ... -6.28999993e-02
   2.40000000e+01  1.00000000e+00]
 [-5.77999987e-02 -2.25000009e-02 -3.15999985e-02 ... -7.38999993e-02
   2.30000000e+01  1.00000000e+00]
 [ 6.15999997e-02 -1.74000002e-02  6.75000027e-02 ...  2.74999999e-02
   2.20000000e+01  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
"['In', 'these', 'cases', 'the', 'batteries', 'must', 'be', 'recycled', 'or', 'dropped', 'off', 'at', 'a', 'designated', 'facility', 'You', 'may', 'be', 'able', 'to', 'drop', 'off', 'alkaline', 'batteries', 'for', 'recycling', 'at', 'a', 'local', 'electronics', 'retailer', 'recycling', 'center', 'or', 'community', 'center']",20,[20],"[[22, 23], []]","[[-5.53999990e-02  3.51000018e-02  3.00999992e-02 ... -1.79999997e-03
   2.00000000e+01  1.00000000e+00]
 [-3.75999995e-02 -7.32000023e-02 -1.20099999e-01 ...  4.54999991e-02
   1.90000000e+01  1.00000000e+00]
 [-1.05300002e-01  2.47000009e-02 -4.16000001e-02 ... -1.40300006e-01
   1.80000000e+01  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
"['You', 'may', 'be', 'able', 'to', 'drop', 'off', 'alkaline', 'batteries', 'for', 'recycling', 'at', 'a', 'local', 'electronics', 'retailer', 'recycling', 'center', 'or', 'community', 'center', 'Check', 'the', 'Earth911', 'website', 'for', 'drop-off', 'locations', 'in', 'your', 'area']",21,[21],"[[23, 24], []]","[[ 1.97000001e-02  8.20000023e-02 -2.88999993e-02 ... -3.70999984e-02
   2.10000000e+01  1.00000000e+00]
 [-8.00999999e-02  8.25000033e-02 -1.29500002e-01 ... -6.96000010e-02
   2.00000000e+01  1.00000000e+00]
 [ 4.60000001e-02  3.11999992e-02 -1.64299995e-01 ... -8.82000029e-02
   1.90000000e+01  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
"['Check', 'the', 'Earth911', 'website', 'for', 'drop-off', 'locations', 'in', 'your', 'area', 'Dispose', 'of', 'car', 'batteries', 'at', 'an', 'auto', 'parts', 'retailer', 'or', 'hazardous', 'waste', 'collection', 'site']",10,[10],"[[12, 13], []]","[[-0.0332  0.033   0.1812 ...  0.1675 10.      1.    ]
 [ 0.0897  0.016  -0.0571 ... -0.0259  9.      1.    ]
 [ 0.      0.      0.     ...  0.      8.      1.    ]
 ...
 [ 0.      0.      0.     ...  0.      0.      1.    ]
 [ 0.      0.      0.     ...  0.      0.      1.    ]
 [ 0.      0.      0.     ...  0.      0.      1.    ]]"
"['Many', 'retailers', 'like', 'Home', 'Depot', 'or', 'Auto', 'Zone', 'will', 'accept', 'dead', 'or', 'used', 'car', 'batteries', 'You', 'can', 'also', 'drop', 'them', 'off', 'at', 'recycling', 'or', 'waste', 'disposal', 'facilities', 'that', 'specialize', 'in', 'hazardous', 'materials']",18,[18],"[[13, 14], []]","[[-5.31999990e-02  8.79999995e-03 -3.48000005e-02 ...  1.13499999e-01
   1.80000000e+01  1.00000000e+00]
 [ 5.38000017e-02 -2.00999994e-02 -1.32900000e-01 ... -2.96999998e-02
   1.70000000e+01  1.00000000e+00]
 [-6.36999980e-02 -7.29999989e-02 -4.34000008e-02 ... -7.63000026e-02
   1.60000000e+01  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
"['You', 'can', 'also', 'drop', 'them', 'off', 'at', 'recycling', 'or', 'waste', 'disposal', 'facilities', 'that', 'specialize', 'in', 'hazardous', 'materials', 'Take', 'rechargeable', 'batteries', 'to', 'a', 'recycling', 'facility']",17,[17],"[[18, 19], []]","[[ 1.97000001e-02  8.20000023e-02 -2.88999993e-02 ... -3.70999984e-02
   1.70000000e+01  1.00000000e+00]
 [-1.20800003e-01  1.43999998e-02 -9.26999971e-02 ...  7.23000020e-02
   1.60000000e+01  1.00000000e+00]
 [-7.63999969e-02  4.50999998e-02 -8.82999972e-02 ... -1.04000000e-02
   1.50000000e+01  1.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]]"
